original,available,unique,var
ID,55074,55074,id
Cmaq_Project_ID,55074,41668,cmaq_project_id
Year,55074,31,year
State_Project_ID,39516,21658,state_project_id
Fmis_Project_ID,23030,12929,fmis_project_id
Tip_Project_ID,18299,9291,tip_project_id
Is_Outreach_Activity,54347,3,is_outreach_activity
Is_TCM,55074,2,is_tcm
Is_Congestion_Reduction,11097,3,is_congestion_reduction
Is_Include_Assistance,11097,3,is_include_assistance
MPO_Desc,47905,350,mpo_desc
Area_Desc,33926,211,area_desc
Has_nonatt_Area,55074,2,has_nonatt_area
Project_Title,55059,34421,project_title
Project_Category_Desc,55074,11,project_category_desc
Project_Desc,54574,21368,project_desc
Project_Other_Desc,14898,12289,project_other_desc
PPP,55074,2,ppp
VOC_Benefit,25981,6200,voc_benefit
NOX_Benefit,22669,6148,nox_benefit
CO_Benefit,13629,6111,co_benefit
PM10_Benefit,7313,1674,pm10_benefit
PM2_5Benefit,5643,1157,pm2_5benefit
CO2_Benefit,1293,644,co2_benefit
VOC_QA,55074,2,voc_qa
NOX_QA,55074,2,nox_qa
CO_QA,55074,2,co_qa
PM10_QA,55074,2,pm10_qa
PM2_5QA,55074,2,pm2_5qa
QA_Reason,2068,590,qa_reason
Is_deobligate,55074,2,is_deobligate
Capital_Amount,54920,34709,capital_amount
Operational_Assist_Amount,1732,234,operational_assist_amount
Total_Proj_Amount,48557,33407,total_proj_amount
State_Amount,48564,20134,state_amount
Is_Subproject,55074,2,is_subproject
