by,year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo
8,1990,36109,1,11,NA,NA,NA,13.6,2814991,77612.1,902.9,49420.6,NA,NA,NA,NA
8,1990,36109,1,21,NA,NA,NA,491.7,328009337,9378552.5,31484.4,37228440,NA,NA,NA,NA
8,1990,36109,1,31,NA,NA,NA,247.6,95995749.5,2586359.2,8280.1,9465605.8,NA,NA,NA,NA
8,1990,36109,1,32,NA,NA,NA,26,10546113.2,303527.3,898.7,1176150.2,NA,NA,NA,NA
8,1990,36109,1,41,NA,NA,NA,1.1,1195316.5,33547.5,39,64658.7,NA,NA,NA,NA
8,1990,36109,1,42,NA,NA,NA,0.4,323518.5,9063.7,10.6,20225.4,NA,NA,NA,NA
8,1990,36109,1,43,NA,NA,NA,2.7,855015.7,23299.9,77.1,66467.6,NA,NA,NA,NA
8,1990,36109,1,51,NA,NA,NA,0.5,423033.1,11373.9,13.4,5265.3,NA,NA,NA,NA
8,1990,36109,1,52,NA,NA,NA,37.2,13920708.9,372500.7,785.1,3542288.5,NA,NA,NA,NA
8,1990,36109,1,53,NA,NA,NA,2.1,1180026.6,29101,35,14205,NA,NA,NA,NA
8,1990,36109,1,54,NA,NA,NA,4.7,1349847.7,36226.5,191.3,27760.2,NA,NA,NA,NA
8,1990,36109,1,61,NA,NA,NA,10.7,9944677.9,230123.7,241.7,340106.6,NA,NA,NA,NA
8,1990,36109,1,62,NA,NA,NA,8.9,11800284.8,268846.9,106.4,20914.3,6791.4,0,0,1697.9
8,1990,36109,2,11,NA,NA,NA,162.6,2814991,77612.1,902.9,49420.6,NA,NA,NA,NA
8,1990,36109,2,21,NA,NA,NA,9487.3,328009337,9378552.5,31484.4,37228440,NA,NA,NA,NA
8,1990,36109,2,31,NA,NA,NA,5387.5,95995749.5,2586359.2,8280.1,9465605.8,NA,NA,NA,NA
8,1990,36109,2,32,NA,NA,NA,493.8,10546113.2,303527.3,898.7,1176150.2,NA,NA,NA,NA
8,1990,36109,2,41,NA,NA,NA,6.9,1195316.5,33547.5,39,64658.7,NA,NA,NA,NA
8,1990,36109,2,42,NA,NA,NA,2.3,323518.5,9063.7,10.6,20225.4,NA,NA,NA,NA
8,1990,36109,2,43,NA,NA,NA,58.3,855015.7,23299.9,77.1,66467.6,NA,NA,NA,NA
8,1990,36109,2,51,NA,NA,NA,5.7,423033.1,11373.9,13.4,5265.3,NA,NA,NA,NA
8,1990,36109,2,52,NA,NA,NA,657,13920708.9,372500.7,785.1,3542288.5,NA,NA,NA,NA
8,1990,36109,2,53,NA,NA,NA,34.1,1180026.6,29101,35,14205,NA,NA,NA,NA
8,1990,36109,2,54,NA,NA,NA,73.7,1349847.7,36226.5,191.3,27760.2,NA,NA,NA,NA
8,1990,36109,2,61,NA,NA,NA,103.7,9944677.9,230123.7,241.7,340106.6,NA,NA,NA,NA
8,1990,36109,2,62,NA,NA,NA,54.9,11800284.8,268846.9,106.4,20914.3,6791.4,0,0,1697.9
8,1990,36109,3,11,NA,NA,NA,3.6,2814991,77612.1,902.9,49420.6,NA,NA,NA,NA
8,1990,36109,3,21,NA,NA,NA,773.5,328009337,9378552.5,31484.4,37228440,NA,NA,NA,NA
8,1990,36109,3,31,NA,NA,NA,387.8,95995749.5,2586359.2,8280.1,9465605.8,NA,NA,NA,NA
8,1990,36109,3,32,NA,NA,NA,45.6,10546113.2,303527.3,898.7,1176150.2,NA,NA,NA,NA
8,1990,36109,3,41,NA,NA,NA,47.7,1195316.5,33547.5,39,64658.7,NA,NA,NA,NA
8,1990,36109,3,42,NA,NA,NA,13.8,323518.5,9063.7,10.6,20225.4,NA,NA,NA,NA
8,1990,36109,3,43,NA,NA,NA,15.5,855015.7,23299.9,77.1,66467.6,NA,NA,NA,NA
