state,area_desc,mpo_desc,state_id,mpo_id,geoid
AK,NA,Anchorage Metropolitan Area Transportation Solutions,AK,02196800,02020
AK,NA,Anchorage Metropolitan Area Transportation Study,AK,02196800,02020
AK,Anchorage,Anchorage Metropolitan Area Transportation Study,AK,02196800,02020
AK,No Nonattainment Area Selected,Anchorage Metropolitan Area Transportation Study,AK,02196800,02020
AK,NA,Fairbanks Area Surface Transportation Planning,AK,02200300,02090
AK,Fairbanks,Fairbanks Area Surface Transportation Planning,AK,02200300,02090
AK,No Nonattainment Area Selected,Fairbanks Area Surface Transportation Planning,AK,02200300,02090
AK,NA,NA,AK,NA,NA
AK,Anchorage,No MPO Identified,AK,02196800,02020
AK,Fairbanks,No MPO Identified,AK,02200300,NA
AK,NA,No MPO identified/State sponsored project,AK,NA,NA
AK,Juneau PM10,No MPO identified/State sponsored project,AK,NA,02110
AK,No Nonattainment Area Selected,No MPO identified/State sponsored project,AK,NA,NA
AK,Fairbanks,No MPO identified/State sponsored project,AK,02200300,02090
AK,Fairbanks,State Sponsored Project,AK,02200300,02090
AK,Anchorage,State Sponsored Project,AK,02196800,02020
AK,No Nonattainment Area Selected,State Sponsored Project,AK,NA,NA
AL,NA,Birmingham MPO,AL,01197700,01009
AL,NA,Birmingham MPO,AL,01197700,01117
AL,NA,Birmingham MPO,AL,01197700,01115
AL,NA,Birmingham MPO,AL,01197700,01073
AL,NA,Birmingham RPC,AL,01197700,01009
AL,NA,Birmingham RPC,AL,01197700,01117
AL,NA,Birmingham RPC,AL,01197700,01115
AL,NA,Birmingham RPC,AL,01197700,01073
AL,Birmingham,Birmingham RPC,AL,01197700,01009
AL,Birmingham,Birmingham RPC,AL,01197700,01117
AL,Birmingham,Birmingham RPC,AL,01197700,01115
AL,Birmingham,Birmingham RPC,AL,01197700,01073
AL,NA,NA,AL,NA,NA
AL,Alabama capital,No MPO Identified,AL,NA,10101
AL,Birmingham,No MPO Identified,AL,01197700,01009
AL,Birmingham,No MPO Identified,AL,01197700,01117
AL,Birmingham,No MPO Identified,AL,01197700,01115
AL,Birmingham,No MPO Identified,AL,01197700,01073
AR,NA,Arkhoma RPC,AR,NA,NA
AR,NA,Central Arkansas Regional Transportation Study,AR,05197400,05045
AR,NA,Central Arkansas Regional Transportation Study,AR,05197400,05085
AR,NA,Central Arkansas Regional Transportation Study,AR,05197400,05125
AR,NA,Central Arkansas Regional Transportation Study,AR,05197400,05119
AR,No Nonattainment Area Selected,Central Arkansas Regional Transportation Study,AR,05197400,05045
AR,No Nonattainment Area Selected,Central Arkansas Regional Transportation Study,AR,05197400,05085
AR,No Nonattainment Area Selected,Central Arkansas Regional Transportation Study,AR,05197400,05125
AR,No Nonattainment Area Selected,Central Arkansas Regional Transportation Study,AR,05197400,05119
AR,NA,Hot Springs Area MPO,AR,05200301,05051
AR,No Nonattainment Area Selected,Hot Springs Area MPO,AR,05200301,05051
AR,NA,Jonesboro MPO,AR,05200302,05031
AR,No Nonattainment Area Selected,Jonesboro MPO,AR,05200302,05031
AR,NA,Metroplan,AR,05197400,05045
AR,NA,Metroplan,AR,05197400,05085
AR,NA,Metroplan,AR,05197400,05125
AR,NA,Metroplan,AR,05197400,05119
AR,NA,NA,AR,NA,NA
AR,NA,No MPO Identified,AR,NA,NA
AR,NA,No MPO identified/State sponsored project,AR,NA,NA
AR,No Nonattainment Area Selected,No MPO identified/State sponsored project,AR,NA,NA
AR,NA,Northwest Arkansas RPC,AR,05198200,05007
AR,NA,Northwest Arkansas RPC,AR,05198200,05143
AR,No Nonattainment Area Selected,Northwest Arkansas RPC,AR,05198200,05007
AR,No Nonattainment Area Selected,Northwest Arkansas RPC,AR,05198200,05143
AR,NA,Southeast Arkansas RPC,AR,05196400,05069
AR,No Nonattainment Area Selected,Southeast Arkansas RPC,AR,05196400,05069
AR,No Nonattainment Area Selected,State Sponsored Project,AR,NA,NA
AR,NA,State Sponsored Project,AR,NA,NA
AR,NA,West Memphis Area Transportation Study,AR,05198300,05035
AR,Crittenden County,West Memphis Area Transportation Study,AR,05198300,05035
AR,No Nonattainment Area Selected,West Memphis Area Transportation Study,AR,05198300,05035
AZ,NA,Maricopa Association of Governments,AZ,04197301,04021
AZ,NA,Maricopa Association of Governments,AZ,04197301,04013
AZ,Phoenix,Maricopa Association of Governments,AZ,04197301,04013
AZ,Phoenix,Maricopa Association of Governments,AZ,04197301,04013
AZ,Pinal County,Maricopa Association of Governments,AZ,04197301,04021
AZ,Pinal County,Maricopa Association of Governments,AZ,04197301,04021
AZ,NA,NA,AZ,NA,NA
AZ,Phoenix,No MPO Identified,AZ,04197301,04013
AZ,NA,No MPO identified/State sponsored project,AZ,NA,NA
AZ,Nogales PM2.5,No MPO identified/State sponsored project,AZ,NA,04023
CA,NA,Amador County RTPA,CA,NA,06005
CA,Amador (Central Mountain County),Amador County RTPA,CA,NA,06005
CA,Monterey Bay,Association of Monterey Bay Area Governments,CA,06197502,06069
CA,Monterey Bay,Association of Monterey Bay Area Governments,CA,06197502,06053
CA,Monterey Bay,Association of Monterey Bay Area Governments,CA,06197502,06087
CA,NA,Butte County Association of Governments,CA,06198000,06007
CA,Chico,Butte County Association of Governments,CA,06198000,06007
CA,Los Angeles-South Coast Air Basin,Butte County Association of Governments,CA,06198000,06007
CA,NA,Calaveras County RTPA,CA,NA,06009
CA,Calaveras (Central Mountain County),Calaveras County RTPA,CA,NA,06009
CA,NA,Council of Fresno County Governments,CA,06197202,06019
CA,San Joaquin Valley,Council of Fresno County Governments,CA,06197202,06019
CA,NA,Fresno Council of Governments,CA,06197202,06019
CA,NA,Kern County Council of Governments,CA,06197002,06029
CA,San Joaquin Valley,Kern County Council of Governments,CA,06197002,06029
CA,Eastern Kern,Kern County Council of Governments,CA,06197002,06029
CA,Indian Wells PM,Kern County Council of Governments,CA,06197002,06029
CA,NA,Kings County Association of Governments,CA,06196800,06077
CA,San Joaquin Valley,Kings County Association of Governments,CA,06196800,06077
CA,NA,Madera County Transportation Commission,CA,06200302,06039
CA,San Joaquin Valley,Madera County Transportation Commission,CA,06200302,06039
CA,NA,Mariposa County RTPA,CA,NA,06043
CA,Mariposa (Southern Mountain County),Mariposa County RTPA,CA,NA,06043
CA,NA,Merced County Association of Governments,CA,06198600,06047
CA,San Joaquin Valley,Merced County Association of Governments,CA,06198600,06047
CA,NA,Metropolitan Transportation Commission,CA,06197001,06001
CA,NA,Metropolitan Transportation Commission,CA,06197001,06075
CA,NA,Metropolitan Transportation Commission,CA,06197001,06095
CA,NA,Metropolitan Transportation Commission,CA,06197001,06041
CA,NA,Metropolitan Transportation Commission,CA,06197001,06055
CA,NA,Metropolitan Transportation Commission,CA,06197001,06097
CA,NA,Metropolitan Transportation Commission,CA,06197001,06081
CA,NA,Metropolitan Transportation Commission,CA,06197001,06013
CA,NA,Metropolitan Transportation Commission,CA,06197001,06085
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06001
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06075
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06095
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06041
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06055
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06097
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06081
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06013
CA,San Francisco Bay Area,Metropolitan Transportation Commission,CA,06197001,06085
CA,Sacramento Metro,Metropolitan Transportation Commission,CA,06197001,06001
CA,Sacramento Metro,Metropolitan Transportation Commission,CA,06197001,06075
CA,Sacramento Metro,Metropolitan Transportation Commission,CA,06197001,06095
CA,Sacramento Metro,Metropolitan Transportation Commission,CA,06197001,06041
CA,Sacramento Metro,Metropolitan Transportation Commission,CA,06197001,06055
CA,Sacramento Metro,Metropolitan Transportation Commission,CA,06197001,06097
