id,seconds,start_year,end_year,n_policies,max_abs_diff,pollutants,geoid
1,6.239999999999981,2025,2050,10,1,98,36053
2,12.360000000000014,2025,2050,10,1,"98,2,3",36053
3,6.420000000000016,2025,2050,10,0.1,98,36053
4,9.75,2025,2050,10,0.1,"98,2,3",36053
5,6.2900000000000205,2025,2050,10,0.01,98,36053
6,10.5,2025,2050,10,0.01,"98,2,3",36053
7,2.990000000000009,2025,2030,10,1,98,36053
8,5.430000000000007,2025,2030,10,1,"98,2,3",36053
9,4.060000000000002,2025,2030,10,0.1,98,36053
10,5.590000000000003,2025,2030,10,0.1,"98,2,3",36053
11,3.030000000000001,2025,2030,10,0.01,98,36053
12,5.189999999999998,2025,2030,10,0.01,"98,2,3",36053
13,5.909999999999997,2025,2050,5,1,98,36053
14,9.569999999999993,2025,2050,5,1,"98,2,3",36053
15,8.310000000000002,2025,2050,5,0.1,98,36053
16,9.390000000000043,2025,2050,5,0.1,"98,2,3",36053
17,7.07000000000005,2025,2050,5,0.01,98,36053
18,12.910000000000025,2025,2050,5,0.01,"98,2,3",36053
19,2.75,2025,2030,5,1,98,36053
20,3.7999999999999545,2025,2030,5,1,"98,2,3",36053
21,2.6100000000000136,2025,2030,5,0.1,98,36053
22,4.640000000000043,2025,2030,5,0.1,"98,2,3",36053
23,2.8899999999999864,2025,2030,5,0.01,98,36053
24,4.5,2025,2030,5,0.01,"98,2,3",36053
25,9.75,2025,2050,10,1,98,36115
26,11.390000000000043,2025,2050,10,1,"98,2,3",36115
27,7.330000000000041,2025,2050,10,0.1,98,36115
28,11.860000000000014,2025,2050,10,0.1,"98,2,3",36115
29,7.590000000000032,2025,2050,10,0.01,98,36115
30,12.980000000000018,2025,2050,10,0.01,"98,2,3",36115
31,4.610000000000014,2025,2030,10,1,98,36115
32,7.660000000000025,2025,2030,10,1,"98,2,3",36115
33,4.489999999999952,2025,2030,10,0.1,98,36115
34,7.610000000000014,2025,2030,10,0.1,"98,2,3",36115
35,4.5,2025,2030,10,0.01,98,36115
36,7.899999999999977,2025,2030,10,0.01,"98,2,3",36115
37,8.409999999999968,2025,2050,5,1,98,36115
38,11.870000000000005,2025,2050,5,1,"98,2,3",36115
39,6.46999999999997,2025,2050,5,0.1,98,36115
40,10.329999999999984,2025,2050,5,0.1,"98,2,3",36115
41,7.689999999999998,2025,2050,5,0.01,98,36115
42,9.659999999999968,2025,2050,5,0.01,"98,2,3",36115
43,2.4599999999999795,2025,2030,5,1,98,36115
44,4.060000000000002,2025,2030,5,1,"98,2,3",36115
45,2.5600000000000023,2025,2030,5,0.1,98,36115
46,4.3799999999999955,2025,2030,5,0.1,"98,2,3",36115
47,2.8700000000000045,2025,2030,5,0.01,98,36115
48,4.100000000000023,2025,2030,5,0.01,"98,2,3",36115
49,7.180000000000007,2025,2050,10,1,98,36051
50,11.090000000000032,2025,2050,10,1,"98,2,3",36051
51,6.7000000000000455,2025,2050,10,0.1,98,36051
52,10.769999999999982,2025,2050,10,0.1,"98,2,3",36051
53,6.949999999999932,2025,2050,10,0.01,98,36051
54,11.829999999999927,2025,2050,10,0.01,"98,2,3",36051
55,3.169999999999959,2025,2030,10,1,98,36051
56,5.809999999999945,2025,2030,10,1,"98,2,3",36051
57,3.6100000000000136,2025,2030,10,0.1,98,36051
58,5.8799999999999955,2025,2030,10,0.1,"98,2,3",36051
59,4.230000000000018,2025,2030,10,0.01,98,36051
60,5.75,2025,2030,10,0.01,"98,2,3",36051
61,6.139999999999986,2025,2050,5,1,98,36051
62,8.92999999999995,2025,2050,5,1,"98,2,3",36051
63,6,2025,2050,5,0.1,98,36051
64,9.590000000000032,2025,2050,5,0.1,"98,2,3",36051
65,6.1299999999999955,2025,2050,5,0.01,98,36051
66,10.370000000000005,2025,2050,5,0.01,"98,2,3",36051
67,2.9799999999999045,2025,2030,5,1,98,36051
68,4.580000000000041,2025,2030,5,1,"98,2,3",36051
69,2.8600000000000136,2025,2030,5,0.1,98,36051
70,5.25,2025,2030,5,0.1,"98,2,3",36051
71,3.060000000000059,2025,2030,5,0.01,98,36051
72,4.650000000000091,2025,2030,5,0.01,"98,2,3",36051
