geoid,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,prior_reduction,reduction,ireduction,z,diversification,emissions,status,base_emissions,base_vmt,base_ef,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg,min_annual_emissions_chg,effect_emissions,effect_vmt,effect_ef
36001,0,10,40,0,0,0,0,0,10,10,2025,30000,0,2100000,0.0027195027195027195,0,2666.4987022761366,0.9967550283063209,0.4997372655129118,0.1,1475001.301297724,success,1477667.8,3251444748,4.544649884974764e-4,10,1,10,0,1,10,100,30000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2026,30000,2100000,4200000,0.005439005439005439,2666.4987022761366,5332.997404552273,0.9935100566126419,0.4994745310258236,0.1,1455683.2225954477,success,1461016.22,3274751953.44,4.461456137052637e-4,10,2,10,0,1,20,100,60000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2027,30000,4200000,6300000,0.008158508158508158,5332.997404552273,7999.49610682841,0.9902650849189628,0.4992117965387355,0.1,1436365.1438931716,success,1444364.64,3298059158.88,4.3794382405514426e-4,10,3,10,0,1,30,100,90000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2028,30000,6300000,8400000,0.010878010878010878,7999.49610682841,10665.994809104546,0.9870201132252837,0.4989490620516473,0.1,1417047.0651908955,success,1427713.06,3321366364.3199997,4.2985714413721504e-4,10,4,10,0,1,40,100,120000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2029,30000,8400000,10500000,0.013597513597513598,10665.994809104546,13332.493511380682,0.9837751415316046,0.4986863275645591,0.1,1397728.9864886194,success,1411061.48,3344673569.7599998,4.2188316754069726e-4,10,5,10,0,1,50,100,150000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2030,30000,10500000,12600000,0.016317016317016316,13332.493511380682,15998.992213656818,0.9805301698379256,0.4984235930774709,0.1,1378410.907786343,success,1394409.9,3367980775.2,4.1401955446648776e-4,10,6,10,0,1,60,100,180000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2031,30000,12600000,14700000,0.019036519036519036,15998.992213656818,18665.490915932955,0.9772851981442465,0.4981608585903828,0.1,1366886.469084067,success,1385551.96,3387625815.98,4.0900383786902277e-4,10,7,10,0,1,70,100,210000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2032,30000,14700000,16800000,0.021756021756021756,18665.490915932955,21331.989618209092,0.9740402264505674,0.4978981241032946,0.1,1355362.0303817908,success,1376694.02,3407270856.7599998,4.040459587381054e-4,10,8,10,0,1,80,100,240000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2033,30000,16800000,18900000,0.024475524475524476,21331.989618209092,23998.48832048523,0.9707952547568883,0.4976353896162064,0.1,1343837.5916795146,success,1367836.0799999998,3426915897.54,3.991449224014795e-4,10,9,10,0,1,90,100,270000000,30000000,0,0,0,0,NA,NA,NA
36001,0,10,40,0,0,0,0,0,10,10,2034,30000,18900000,21000000,0.027195027195027196,23998.48832048523,26664.98702276137,0.9675502830632093,0.4973726551291182,0.1,1332313.1529772386,success,1358978.14,3446560938.3199997,3.9429975686500516e-4,10,10,10,0,1,100,100,300000000,30000000,0,0,0,0,NA,NA,NA
