p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,z,diversification,status,prior_reduction98,reduction98,ireduction98,geoid,base_vmt,base_emissions98,base_ef98,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg98,min_annual_emissions_chg98,emissions98,effect_emissions98,effect_ef98,effect_vmt
0,0,100,0,0,0,0,0,0,0,2025,30000,0,3306908.810999999,0.002488701361921318,0.6215236619378853,0.2,success,0,6206.629380110635,0.9924468980110794,36001,3251444748,1477667.8,4.544649884974764e-4,11.023029369999996,1,10,0,1,10,100,33069088.10999999,33069088.10999999,10000,0,0,0,1471461.1706198894,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2026,30000,3306908.810999999,6722945.612762998,0.00505952986878604,0.6180883874482423,0.2,success,6206.629380110635,12413.25876022127,0.984893796022159,36001,3274751953.44,1461016.22,4.461456137052637e-4,11.386789339209997,2,10,0,1,20,100,68320736.03525998,34160368.01762999,10000,0,0,0,1448602.9612397787,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2027,30000,6722945.612762998,10251711.628984176,0.007715195716377297,0.6146955316289627,0.2,success,12413.25876022127,18619.888140331903,0.9773406940332384,36001,3298059158.88,1444364.64,4.3794382405514426e-4,11.762553387403925,3,10,0,1,30,100,105862980.48663533,35287660.162211776,10000,0,0,0,1425744.751859668,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2028,30000,10251711.628984176,13896926.923740651,0.010458498536939064,0.6113464942961682,0.2,success,18619.888140331903,24826.51752044254,0.9697875920443179,36001,3321366364.3199997,1427713.06,4.2985714413721504e-4,12.150717649188254,4,10,0,1,40,100,145808611.79025903,36452152.94756476,10000,0,0,0,1402886.5424795575,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2029,30000,13896926.923740651,17662434.32322409,0.01329233035057937,0.6080427214599131,0.2,success,24826.51752044254,31033.146900553176,0.9622344900553974,36001,3344673569.7599998,1411061.48,4.2188316754069726e-4,12.551691331611465,5,10,0,1,50,100,188275369.97417197,37655073.99483439,10000,0,0,0,1380028.3330994467,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2030,30000,17662434.32322409,21552203.466890484,0.01621967861406981,0.604785706848583,0.2,success,31033.146900553176,37239.77628066381,0.9546813880664768,36001,3367980775.2,1394409.9,4.1401955446648776e-4,12.965897145554644,6,10,0,1,60,100,233386148.61998358,38897691.43666393,10000,0,0,0,1357170.123719336,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2031,30000,21552203.466890484,25570334.99229787,0.019243629370255432,0.6015769934836004,0.2,success,37239.77628066381,43446.40566077445,0.9471282860775563,36001,3387625815.98,1385551.96,4.0900383786902277e-4,13.393771751357946,7,10,0,1,70,100,281269206.7785169,40181315.254073836,10000,0,0,0,1342105.5543392254,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2032,30000,25570334.99229787,29721064.858043697,0.022367370501395176,0.598418175306095,0.2,success,43446.40566077445,49653.035040885086,0.9395751840886358,36001,3407270856.7599998,1376694.02,4.040459587381054e-4,13.835766219152756,8,10,0,1,80,100,332058389.25966614,41507298.65745827,10000,0,0,0,1327040.984959115,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2033,30000,29721064.858043697,34008768.80935913,0.025594195089862534,0.5953108988572533,0.2,success,49653.035040885086,55859.66442099572,0.9320220820997153,36001,3426915897.54,1367836.0799999998,3.991449224014795e-4,14.292346504384795,9,10,0,1,90,100,385893355.6183895,42877039.51315439,10000,0,0,0,1311976.4155790042,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2034,30000,34008768.80935913,38437966.99106798,0.028927504889749316,0.5922568650141213,0.2,success,55859.66442099572,62066.29380110636,0.9244689801107947,36001,3446560938.3199997,1358978.14,3.9429975686500516e-4,14.763993939029493,10,10,0,1,100,100,442919818.1708848,44291981.81708848,10000,0,0,0,1296911.8461988936,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2035,30000,38437966.99106798,43013328.71277322,0.032370813913032356,0.5892578307826876,0.2,success,62066.29380110636,68272.92318121699,0.9169158781218743,36001,3466205979.1,1350120.2,3.895095121700063e-4,15.251205739017465,11,10,0,1,110,100,503289789.38757634,45753617.21705239,10000,0,0,0,1281847.276818783,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2036,30000,43013328.71277322,47739677.37129473,0.03592775213408374,0.586315611150138,0.2,success,68272.92318121699,74479.55256132763,0.9093627761329537,36001,3493040751.98,1351795.5,3.869967732937975e-4,15.75449552840504,12,10,0,1,120,100,567161839.0225815,47263486.585215114,10000,0,0,0,1277315.9474386724,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2037,30000,47739677.37129473,52621995.53554745,0.03960206931642982,0.5834320809982356,0.2,success,74479.55256132763,80686.18194143826,0.9018096741440331,36001,3519875524.86,1353470.8,3.845223475775704e-4,16.274393880842407,13,10,0,1,130,100,634701361.3528539,48823181.64252722,10000,0,0,0,1272784.6180585618,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2038,30000,52621995.53554745,57665430.19922051,0.04339763896579331,0.580609177079842,0.2,success,80686.18194143826,86892.8113215489,0.8942565721551127,36001,3546710297.74,1355146.0999999999,3.820853653774634e-4,16.811448878910202,14,10,0,1,140,100,706080852.9142284,50434346.636730604,10000,0,0,0,1268253.288678451,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2039,30000,57665430.19922051,62875298.20679478,0.04731846241358581,0.577848900060663,0.2,success,86892.8113215489,93099.44070165954,0.8867034701661921,36001,3573545070.62,1356821.4,3.7968498317123375e-4,17.36622669191424,15,10,0,1,150,100,781480201.1361407,52098680.075742714,10000,0,0,0,1263721.9592983404,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2040,30000,62875298.20679478,68257091.858619,0.05136867303515545,0.5751533166283725,0.2,success,93099.44070165954,99306.07008177017,0.8791503681772715,36001,3600379843.5,1358496.7,3.7732038258479376e-4,17.939312172747407,16,10,0,1,160,100,861086984.2918755,53817936.51824222,10000,0,0,0,1259190.6299182298,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2041,30000,68257091.858619,73816484.70095342,0.0555525406072369,0.5725245616713378,0.2,success,99306.07008177017,105512.69946188081,0.8715972661883511,36001,3628920844.84,1365033.16,3.76154018884417e-4,18.53130947444807,17,10,0,1,170,100,945096783.1968515,55593928.4233442,10000,0,0,0,1259520.460538119,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2042,30000,73816484.70095342,79559337.50708488,0.059874475809197025,0.5699648405292426,0.2,success,105512.69946188081,111719.32884199145,0.8640441641994305,36001,3657461846.18,1371569.6199999999,3.750058586209238e-4,19.142842687104856,18,10,0,1,180,100,1033713505.1036623,57428528.06131457,10000,0,0,0,1259850.2911580084,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2043,30000,79559337.50708488,85491704.45581867,0.06433903487282185,0.5674764313179796,0.2,success,111719.32884199145,117925.95822210208,0.85649106221051,36001,3686002847.52,1378106.08,3.738754789425112e-4,19.774556495779315,19,10,0,1,190,100,1127149720.2594209,59323669.48733795,10000,0,0,0,1260180.121777898,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2044,30000,85491704.45581867,91619839.51386067,0.06895092438554627,0.5650616873312665,0.2,success,117925.95822210208,124132.58760221272,0.8489379602215895,36001,3714543848.8599997,1384642.54,3.7276246999344196e-4,20.427116860140032,20,10,0,1,200,100,1225627011.608402,61281350.5804201,10000,0,0,0,1260509.9523977872,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2045,30000,91619839.51386067,97950203.02881807,0.07371500625219062,0.5627230395215134,0.2,success,124132.58760221272,130339.21698232336,0.841384858232669,36001,3743084850.2,1391179,3.716664344185697e-4,21.101211716524645,21,10,0,1,210,100,1329376338.1410527,63303635.14957394,10000,0,0,0,1260839.7830176766,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2046,30000,97950203.02881807,104489468.53976905,0.07863630282043421,0.5604629990625598,0.2,success,130339.21698232336,136545.84636243398,0.8338317562437485,36001,3770455376.2999997,1400809.4,3.7152260408784723e-4,21.79755170316996,22,10,0,1,220,100,1438638412.4092174,65392655.109509885,10000,0,0,0,1264263.553637566,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2047,30000,104489468.53976905,111244529.81258142,0.08372000217542985,0.5582841599969824,0.2,success,136545.84636243398,142752.4757425446,0.8262786542548279,36001,3797825902.3999996,1410439.8,3.7138084689682224e-4,22.516870909374568,23,10,0,1,230,100,1553664092.7468452,67550612.72812371,10000,0,0,0,1267687.3242574555,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2048,30000,111244529.81258142,118222508.1073966,0.08897146360914035,0.5561892019707624,0.2,success,142752.4757425446,148959.10512265522,0.8187255522659074,36001,3825196428.5,1420070.2,3.712411183435256e-4,23.259927649383926,24,10,0,1,240,100,1674714790.7556427,69779782.94815178,10000,0,0,0,1271111.0948773448,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2049,30000,118222508.1073966,125430759.68594068,0.0943962232701633,0.5541808930581984,0.2,success,148959.10512265522,155165.73450276584,0.8111724502769869,36001,3852566954.6,1429700.6,3.7110337519064387e-4,24.027505261813594,25,10,0,1,250,100,1802062894.6360195,72082515.78544079,10000,0,0,0,1274534.8654972343,NA,NA,NA
0,0,100,0,0,0,0,0,0,0,2050,30000,125430759.68594068,132876883.56657672,0.1,0.5522620926800416,0.2,success,155165.73450276584,161372.36388287647,0.8036193482880665,36001,3879937480.7,1439331,3.7096757542091186e-4,24.82041293545344,26,10,0,1,260,100,1935992208.9653683,74461238.80636032,10000,0,0,0,1277958.6361171235,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2025,30000,0,9920726.432999996,0.007466104085763954,0.5875193547940829,0.3777777777777778,success,0,7810.826496783968,0.9340580844019214,36003,447779371.3,220662.6,4.927931346175437e-4,11.023029369999996,1,10,0,1,10,100,33069088.10999999,33069088.10999999,10000,0,0,0,212851.77350321604,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2026,30000,9920726.432999996,20168836.838288993,0.01517858960635812,0.5501619003055809,0.3777777777777778,success,7810.826496783968,15621.652993567935,0.8681161688038428,36003,450864991.22,218166.58000000002,4.8388449812805586e-4,11.386789339209997,2,10,0,1,20,100,68320736.03525998,34160368.01762999,10000,0,0,0,202544.9270064321,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2027,30000,20168836.838288993,30755134.886952527,0.02314558714913189,0.5129317018281685,0.3777777777777778,success,15621.652993567935,23432.479490351903,0.8021742532057643,36003,453950611.14,215670.56,4.750969702593625e-4,11.762553387403925,3,10,0,1,30,100,105862980.48663533,35287660.162211776,10000,0,0,0,192238.0805096481,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2028,30000,30755134.886952527,41690780.77122196,0.0313754956108172,0.47583295881021226,0.3777777777777778,success,23432.479490351903,31243.30598713587,0.7362323376076856,36003,457036231.06,213174.54,4.6642809806475566e-4,12.150717649188254,4,10,0,1,40,100,145808611.79025903,36452152.94756476,10000,0,0,0,181931.23401286412,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2029,30000,41690780.77122196,52987302.96967228,0.03987699105173812,0.4388700092818734,0.3777777777777778,success,31243.30598713587,39054.132483919835,0.6702904220096071,36003,460121850.97999996,210678.52,4.5787549439628227e-4,12.551691331611465,5,10,0,1,50,100,188275369.97417197,37655073.99483439,10000,0,0,0,171624.38751608017,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2030,30000,52987302.96967228,64656610.40067145,0.048659035842209424,0.4020473344283101,0.3777777777777778,success,39054.132483919835,46864.9589807038,0.6043485064115286,36003,463207470.9,208182.5,4.494368357131781e-4,12.965897145554644,6,10,0,1,60,100,233386148.61998358,38897691.43666393,10000,0,0,0,161317.54101929622,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2031,30000,64656610.40067145,76711004.9768936,0.057730888110766286,0.3653695633137894,0.3777777777777778,success,46864.9589807038,54675.78547748776,0.53840659081345,36003,465642131.15999997,206808.68,4.441365292371668e-4,13.393771751357946,7,10,0,1,70,100,281269206.7785169,40181315.254073836,10000,0,0,0,152132.89452251222,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2032,30000,76711004.9768936,89163194.57413109,0.06710211150418553,0.3288414777616999,0.3777777777777778,success,54675.78547748776,62486.61197427173,0.4724646752153714,36003,468076791.41999996,205434.86,4.3889136091702875e-4,13.835766219152756,8,10,0,1,80,100,332058389.25966614,41507298.65745827,10000,0,0,0,142948.24802572827,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2033,30000,89163194.57413109,102026306.4280774,0.0767825852695876,0.2924680173956018,0.3777777777777778,success,62486.61197427173,70297.43847105569,0.4065227596172929,36003,470511451.68,204061.04,4.3370047481603943e-4,14.292346504384795,9,10,0,1,90,100,385893355.6183895,42877039.51315439,10000,0,0,0,133763.60152894433,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2034,30000,102026306.4280774,115313900.97320394,0.08678251466924794,0.25625428484663293,0.3777777777777778,success,70297.43847105569,78108.26496783966,0.3405808440192143,36003,472946111.94,202687.22,4.2856303262244345e-4,14.763993939029493,10,10,0,1,100,100,442919818.1708848,44291981.81708848,10000,0,0,0,124578.95503216035,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2035,30000,115313900.97320394,129039986.13831966,0.09711244173909707,0.22020555113275833,0.3777777777777778,success,78108.26496783966,85919.09146462362,0.2746389284211358,36003,475380772.2,201313.4,4.2347821319812314e-4,15.251205739017465,11,10,0,1,110,100,503289789.38757634,45753617.21705239,10000,0,0,0,115394.30853537637,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2036,30000,129039986.13831966,143219032.11388418,0.1077832564022512,0.1843272612155364,0.3777777777777778,success,85919.09146462362,93729.91796140758,0.2086970128230572,36003,478662180.12,201475.52,4.2091380595285456e-4,15.75449552840504,12,10,0,1,120,100,567161839.0225815,47263486.585215114,10000,0,0,0,107745.6020385924,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2037,30000,143219032.11388418,157865986.60664234,0.11880620794928944,0.14862503974025634,0.3777777777777778,success,93729.91796140758,101540.74445819155,0.1427550972249787,36003,481943588.04,201637.63999999998,4.1838431925203784e-4,16.274393880842407,13,10,0,1,130,100,634701361.3528539,48823181.64252722,10000,0,0,0,100096.89554180844,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2038,30000,157865986.60664234,172996290.59766153,0.13019291689737994,0.11310469696550254,0.3777777777777778,success,101540.74445819155,109351.57095497551,0.0768131816269001,36003,485224995.96,201799.76,4.1588904462917564e-4,16.811448878910202,14,10,0,1,140,100,706080852.9142284,50434346.636730604,10000,0,0,0,92448.1890450245,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2039,30000,172996290.59766153,188625894.62038434,0.1419553872407574,0.07777223488839216,0.3777777777777778,success,109351.57095497551,117162.39745175948,0.010871266028821602,36003,488506403.88,201961.88,4.134272926534885e-4,17.36622669191424,15,10,0,1,150,100,781480201.1361407,52098680.075742714,10000,0,0,0,84799.48254824053,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2040,30000,188625894.62038434,204771275.575857,0.15410601910546637,0.04263385357194756,0.3777777777777778,success,117162.39745175948,124973.22394854344,-0.055070649569257,36003,491787811.8,202124,4.109983922948454e-4,17.939312172747407,16,10,0,1,160,100,861086984.2918755,53817936.51824222,10000,0,0,0,77150.77605145656,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2041,30000,204771275.575857,221449454.10286027,0.1666576218217107,0.007695957681270613,0.3777777777777778,success,124973.22394854344,132784.05044532742,-0.12101256516733572,36003,495360004.68,203033.24,4.0987007041708666e-4,18.53130947444807,17,10,0,1,170,100,945096783.1968515,55593928.4233442,10000,0,0,0,70249.18955467257,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2042,30000,221449454.10286027,238678012.52125466,0.1796234274275911,-0.027034836764588385,0.3777777777777778,success,132784.05044532742,140594.87694211138,-0.1869544807654142,36003,498932197.56,203942.48,4.087579053774627e-4,19.142842687104856,18,10,0,1,180,100,1033713505.1036623,57428528.06131457,10000,0,0,0,63347.60305788863,NA,NA,NA
